Sample	Unique Reads	Duplicate Reads
SC_498	254456	25822475
SC_497	219534	26889218
SC_496	236368	29628364
SC_492	310035	25592140
SC_491	222643	29783303
SC_488	201757	27249286
SC_487	191630	32601219
SC_486	210477	23630818
SC_485	179877	23860402
SC_484	194079	22196319
SC_479	252008	28733432
SC_473	232987	29730540
SC_472	374204	24388079
SC_471	294540	26980269
SC_461	197317	26420240
SC_460	199206	24311811
SC_459	187162	21625448
SC_458	236987	24680581
SC_457	204343	28257790
SC_443	238718	25521249
SC_439	298577	26620960
SC_433	284286	22605696
SC_429	306980	26106011
SC_428	252890	30011703
SC_421	190410	26207224
SC_417	285498	32351594
SC_414	262449	30422921
SC_413	275679	34748749
SC_410	245287	25223318
SC_409	361321	24307703
SC_408	215398	22508946
SC_403	305115	24962524
SC_400	499837	28483945
SC_398	308445	32741900
SC_394	214754	27207090
SC_390	197459	23266252
SC_387	317193	28257739
SC_380	198822	25203395
SC_375	253314	27076798
SC_373	776734	29529432
SC_372	88279	2872120
SC_371	446664	25750388
SC_366	267521	20906710
SC_363	220215	24313846
SC_360	264655	27522956
SC_359	274526	33686320
SC_350	300155	20938207
SC_346	73102	1441105
SC_345	108299	5392869
SC_344	272628	22184308
SC_343	199026	20007894
SC_340	317159	25776596
SC_337	249873	15981734
SC_334	484766	27488753
SC_331	299593	24541376
SC_330	316859	21754413
SC_325	318927	22950057
SC_321	334744	23344465
SC_319	192970	18604697
SC_318	261917	24923345
SC_315	315560	24641054
SC_314	352682	21743917
SC_313	438159	27002007
SC_312	267328	24602374
SC_309	297357	23076255
SC_307	314040	25570514
SC_303	421652	24198598
SC_301	216235	26191644
SC_298	360528	35109788
SC_296	206867	20487117
SC_294	397630	25928481
SC_293	357453	23140046
SC_292	298276	26938553
SC_290	364586	27337505
SC_288	264252	26601340
SC_287	295310	22920711
SC_286	415509	30421512
SC_284	300108	24153972