Sample	Reads ≥ 18 nt after adapter removal	Reads without adapter	Reads < 18 nt after adapter removal	Reads with low complexity	Reads with low PHRED score
SC_331	11398	24615097	188317	1561	24596
SC_330	17627	21805514	225455	1362	21314
SC_325	8090	23067095	168976	2191	22632
SC_321	70766	23448276	134590	2286	23291
SC_319	15423	18621598	146159	4181	10306
SC_318	12098	25065153	92758	1718	13535
SC_315	8708	24817632	115464	2360	12450
SC_314	15735	21935588	129097	4653	11526
SC_313	20579	27257123	133658	1614	27192
SC_312	13656	24684064	145498	1909	24575
SC_309	8561	23139837	202829	2889	19496
SC_307	57206	25667354	144484	1527	13983
SC_303	16506	24359344	229607	2445	12348
SC_301	25616	26240534	118336	949	22444
SC_298	12525	35236305	198641	3597	19248
SC_296	5000	20610245	66394	1138	11207
SC_294	30528	24808812	1469381	3613	13777
SC_293	29135	23227072	227140	1473	12679
SC_292	14388	26972519	233229	2099	14594
SC_290	5969	27539264	126418	3264	27176
SC_288	9952	26630138	209295	1625	14582
SC_287	30864	22949643	220670	2294	12550
SC_286	200360	30542135	75922	2056	16548
SC_284	189384	24116646	126490	845	20715
SC_414	106535	30482134	37496	3645	55560
SC_413	8261	34915992	36474	2214	61487
SC_410	28680	25315688	76763	2633	44841
SC_409	15310	24509035	97670	3974	43035
SC_408	9889	22601067	70877	2314	40197
SC_403	16365	25145798	56270	4384	44822
SC_400	14971	28782002	130001	4735	52073
SC_398	24789	32881211	84812	3870	55663
SC_394	6163	27261344	103421	2199	48717
SC_390	4717	23370414	44309	1839	42432
SC_387	18841	28448793	51499	4589	51210
SC_380	19289	25293975	41552	2296	45105
SC_375	20361	27191724	66527	3145	48355
SC_373	23775	30133014	90061	5854	53462
SC_372	1886	2935050	22811	411	241
SC_371	9304	26002839	124794	13444	46671
SC_366	32093	21052673	47079	4408	37978
SC_363	9185	24373448	105736	4592	41100
SC_360	43412	27644467	51401	2205	46126
SC_359	50628	33687752	160640	4783	57043
SC_350	5725	21134981	61113	1625	34918
SC_346	1546	1499775	12411	361	114
SC_345	359462	5074506	66093	650	457
SC_344	10088	22302163	102658	4140	37887
SC_343	3362	20149355	41252	944	12007
SC_340	6246	25934813	109057	1865	41774
SC_337	8639	16103893	108928	965	9182
SC_334	72383	27788510	82486	2623	27517
SC_498	2983810	22972869	102223	3830	14199
SC_497	35849	26936363	117183	4807	14550
SC_496	5444	29746656	66742	5653	40237
SC_492	13694	25724972	124381	4338	34790
SC_491	20089	29898032	45986	1234	40605
SC_488	7981	27310883	103836	875	27468
SC_487	5168	32649662	100698	3948	33373
SC_486	6419	23710309	90974	1216	32377
SC_485	12109	23939049	53401	2971	32749
SC_484	6490	22272609	87177	2400	21722
SC_479	1146054	27727512	80244	2654	28976
SC_473	10046	29686422	233557	2596	30906
SC_472	51773	24519593	155666	2983	32268
SC_471	17047	27133670	82588	14030	27474
SC_461	18629	26466676	102404	3094	26754
SC_460	5946	24437135	40987	2426	24523
SC_459	6916	21699360	83438	1785	21111
SC_458	15381	24612052	261804	3479	24852
SC_457	23646	28320798	86415	2000	29274
SC_443	11533	25639743	80086	2306	26299
SC_439	67104	26735833	40992	4621	70987
SC_433	9524	22754483	63731	2079	60165
SC_429	12926	26238439	89409	4805	67412
SC_428	7603	30097694	60823	5137	93336
SC_421	8904	26271616	71603	1543	43968
SC_417	11588	32477646	39898	6694	101266