GENE	REP	FC_mean	SE_mean	t _test
PPARG	NC + OA	1,000	0,03237991825	0,2399930204
PPARG	hsa-miR-144-3p + OA	1,641	0,4125939848	
PNPLA2	NC + OA	1,000	0,08949706471	0,1408124422
PNPLA3	hsa-miR-144-3p + OA	1,488	0,1432962144	
DGAT2	NC + OA	1,000	0,06603823342	0,1287062658
DGAT3	hsa-miR-144-3p + OA	1,327	0,2413696664	
FAS	NC + OA	1,000	0,1809872273	0,4294512701
FAS	hsa-miR-144-3p + OA	2,355	1,603433212	
ACACA	NC + OA	1,000	0,2222914562	0,186294657
ACACA	hsa-miR-144-3p + OA	1,968	0,5379133643	